,id,name,series,printedTotal,total,legalities,ptcgoCode,releaseDate,updatedAt,images
11,neo3,Neo Revelation,Neo,66,66,{'unlimited': 'Legal'},N3,2001/09/21,2020/08/14 09:35:00,"{'symbol': 'https://images.pokemontcg.io/neo3/symbol.png', 'logo': 'https://images.pokemontcg.io/neo3/logo.png'}"
12,neo4,Neo Destiny,Neo,113,113,{'unlimited': 'Legal'},N4,2002/02/28,2020/09/25 10:09:00,"{'symbol': 'https://images.pokemontcg.io/neo4/symbol.png', 'logo': 'https://images.pokemontcg.io/neo4/logo.png'}"
13,base6,Legendary Collection,Other,110,110,{'unlimited': 'Legal'},LC,2002/05/24,2020/08/14 09:35:00,"{'symbol': 'https://images.pokemontcg.io/base6/symbol.png', 'logo': 'https://images.pokemontcg.io/base6/logo.png'}"
14,ecard1,Expedition Base Set,E-Card,165,165,{'unlimited': 'Legal'},EX,2002/09/15,2020/08/14 09:35:00,"{'symbol': 'https://images.pokemontcg.io/ecard1/symbol.png', 'logo': 'https://images.pokemontcg.io/ecard1/logo.png'}"
15,ecard2,Aquapolis,E-Card,186,186,{'unlimited': 'Legal'},AQ,2003/01/15,2020/08/14 09:35:00,"{'symbol': 'https://images.pokemontcg.io/ecard2/symbol.png', 'logo': 'https://images.pokemontcg.io/ecard2/logo.png'}"
16,ecard3,Skyridge,E-Card,182,182,{'unlimited': 'Legal'},SK,2003/05/12,2020/08/14 09:35:00,"{'symbol': 'https://images.pokemontcg.io/ecard3/symbol.png', 'logo': 'https://images.pokemontcg.io/ecard3/logo.png'}"
17,ex1,Ruby & Sapphire,EX,109,109,{'unlimited': 'Legal'},RS,2003/07/01,2018/03/04 10:35:00,"{'symbol': 'https://images.pokemontcg.io/ex1/symbol.png', 'logo': 'https://images.pokemontcg.io/ex1/logo.png'}"
18,ex2,Sandstorm,EX,100,100,{'unlimited': 'Legal'},SS,2003/09/18,2018/03/04 10:35:00,"{'symbol': 'https://images.pokemontcg.io/ex2/symbol.png', 'logo': 'https://images.pokemontcg.io/ex2/logo.png'}"
19,ex3,Dragon,EX,97,97,{'unlimited': 'Legal'},DR,2003/09/18,2019/01/28 16:44:00,"{'symbol': 'https://images.pokemontcg.io/ex3/symbol.png', 'logo': 'https://images.pokemontcg.io/ex3/logo.png'}"
20,np,Nintendo Black Star Promos,NP,40,40,{'unlimited': 'Legal'},PR-NP,2003/10/01,2020/05/01 16:06:00,"{'symbol': 'https://images.pokemontcg.io/np/symbol.png', 'logo': 'https://images.pokemontcg.io/np/logo.png'}"
21,ex4,Team Magma vs Team Aqua,EX,95,95,{'unlimited': 'Legal'},MA,2004/03/01,2019/01/28 16:44:00,"{'symbol': 'https://images.pokemontcg.io/ex4/symbol.png', 'logo': 'https://images.pokemontcg.io/ex4/logo.png'}"
22,ex5,Hidden Legends,EX,101,101,{'unlimited': 'Legal'},HL,2004/06/01,2019/01/28 16:44:00,"{'symbol': 'https://images.pokemontcg.io/ex5/symbol.png', 'logo': 'https://images.pokemontcg.io/ex5/logo.png'}"
23,ex6,FireRed & LeafGreen,EX,112,112,{'unlimited': 'Legal'},RG,2004/09/01,2019/01/28 16:44:00,"{'symbol': 'https://images.pokemontcg.io/ex6/symbol.png', 'logo': 'https://images.pokemontcg.io/ex6/logo.png'}"
24,pop1,POP Series 1,POP,17,17,{'unlimited': 'Legal'},,2004/09/01,2018/03/04 10:35:00,"{'symbol': 'https://images.pokemontcg.io/pop1/symbol.png', 'logo': 'https://images.pokemontcg.io/pop1/logo.png'}"
25,ex7,Team Rocket Returns,EX,109,109,{'unlimited': 'Legal'},TRR,2004/11/01,2019/01/28 16:44:00,"{'symbol': 'https://images.pokemontcg.io/ex7/symbol.png', 'logo': 'https://images.pokemontcg.io/ex7/logo.png'}"
26,ex8,Deoxys,EX,107,107,{'unlimited': 'Legal'},DX,2005/02/01,2019/01/28 16:44:00,"{'symbol': 'https://images.pokemontcg.io/ex8/symbol.png', 'logo': 'https://images.pokemontcg.io/ex8/logo.png'}"
27,ex9,Emerald,EX,106,106,{'unlimited': 'Legal'},EM,2005/05/01,2020/02/08 09:00:00,"{'symbol': 'https://images.pokemontcg.io/ex9/symbol.png', 'logo': 'https://images.pokemontcg.io/ex9/logo.png'}"
28,ex10,Unseen Forces,EX,115,117,{'unlimited': 'Legal'},UF,2005/08/01,2020/08/14 09:35:00,"{'symbol': 'https://images.pokemontcg.io/ex10/symbol.png', 'logo': 'https://images.pokemontcg.io/ex10/logo.png'}"
29,pop2,POP Series 2,POP,17,17,{'unlimited': 'Legal'},,2005/08/01,2018/03/04 10:35:00,"{'symbol': 'https://images.pokemontcg.io/pop2/symbol.png', 'logo': 'https://images.pokemontcg.io/pop2/logo.png'}"
30,ex11,Delta Species,EX,113,114,{'unlimited': 'Legal'},DS,2005/10/31,2020/05/01 16:06:00,"{'symbol': 'https://images.pokemontcg.io/ex11/symbol.png', 'logo': 'https://images.pokemontcg.io/ex11/logo.png'}"
31,ex12,Legend Maker,EX,92,93,{'unlimited': 'Legal'},LM,2006/02/01,2018/03/04 10:35:00,"{'symbol': 'https://images.pokemontcg.io/ex12/symbol.png', 'logo': 'https://images.pokemontcg.io/ex12/logo.png'}"
32,pop3,POP Series 3,POP,17,17,{'unlimited': 'Legal'},,2006/04/01,2020/08/14 09:35:00,"{'symbol': 'https://images.pokemontcg.io/pop3/symbol.png', 'logo': 'https://images.pokemontcg.io/pop3/logo.png'}"
33,ex13,Holon Phantoms,EX,110,111,{'unlimited': 'Legal'},HP,2006/05/01,2018/03/04 10:35:00,"{'symbol': 'https://images.pokemontcg.io/ex13/symbol.png', 'logo': 'https://images.pokemontcg.io/ex13/logo.png'}"
34,ex14,Crystal Guardians,EX,100,100,{'unlimited': 'Legal'},CG,2006/08/01,2018/03/04 10:35:00,"{'symbol': 'https://images.pokemontcg.io/ex14/symbol.png', 'logo': 'https://images.pokemontcg.io/ex14/logo.png'}"
35,pop4,POP Series 4,POP,17,17,{'unlimited': 'Legal'},,2006/08/01,2020/08/14 09:35:00,"{'symbol': 'https://images.pokemontcg.io/pop4/symbol.png', 'logo': 'https://images.pokemontcg.io/pop4/logo.png'}"
36,ex15,Dragon Frontiers,EX,101,101,{'unlimited': 'Legal'},DF,2006/11/01,2020/08/14 09:35:00,"{'symbol': 'https://images.pokemontcg.io/ex15/symbol.png', 'logo': 'https://images.pokemontcg.io/ex15/logo.png'}"
37,pop5,POP Series 5,POP,17,17,{'unlimited': 'Legal'},,2007/03/01,2020/08/14 09:35:00,"{'symbol': 'https://images.pokemontcg.io/pop5/symbol.png', 'logo': 'https://images.pokemontcg.io/pop5/logo.png'}"
38,ex16,Power Keepers,EX,108,108,{'unlimited': 'Legal'},PK,2007/02/02,2018/03/04 10:35:00,"{'symbol': 'https://images.pokemontcg.io/ex16/symbol.png', 'logo': 'https://images.pokemontcg.io/ex16/logo.png'}"
39,dp1,Diamond & Pearl,Diamond & Pearl,130,130,{'unlimited': 'Legal'},DP,2007/05/01,2020/08/14 09:35:00,"{'symbol': 'https://images.pokemontcg.io/dp1/symbol.png', 'logo': 'https://images.pokemontcg.io/dp1/logo.png'}"
40,dpp,DP Black Star Promos,Diamond & Pearl,56,56,{'unlimited': 'Legal'},PR-DPP,2007/05/01,2020/08/14 09:35:00,"{'symbol': 'https://images.pokemontcg.io/dpp/symbol.png', 'logo': 'https://images.pokemontcg.io/dpp/logo.png'}"
41,dp2,Mysterious Treasures,Diamond & Pearl,123,124,{'unlimited': 'Legal'},MT,2007/08/01,2018/03/04 10:35:00,"{'symbol': 'https://images.pokemontcg.io/dp2/symbol.png', 'logo': 'https://images.pokemontcg.io/dp2/logo.png'}"
42,pop6,POP Series 6,POP,17,17,{'unlimited': 'Legal'},,2007/09/01,2020/05/01 16:06:00,"{'symbol': 'https://images.pokemontcg.io/pop6/symbol.png', 'logo': 'https://images.pokemontcg.io/pop6/logo.png'}"
43,dp3,Secret Wonders,Diamond & Pearl,132,132,{'unlimited': 'Legal'},SW,2007/11/01,2018/03/04 10:35:00,"{'symbol': 'https://images.pokemontcg.io/dp3/symbol.png', 'logo': 'https://images.pokemontcg.io/dp3/logo.png'}"
44,dp4,Great Encounters,Diamond & Pearl,106,106,{'unlimited': 'Legal'},GE,2008/02/01,2018/03/04 10:35:00,"{'symbol': 'https://images.pokemontcg.io/dp4/symbol.png', 'logo': 'https://images.pokemontcg.io/dp4/logo.png'}"
45,pop7,POP Series 7,POP,17,17,{'unlimited': 'Legal'},,2008/03/01,2018/03/04 10:35:00,"{'symbol': 'https://images.pokemontcg.io/pop7/symbol.png', 'logo': 'https://images.pokemontcg.io/pop7/logo.png'}"
46,dp5,Majestic Dawn,Diamond & Pearl,100,100,{'unlimited': 'Legal'},MD,2008/05/01,2018/03/04 10:35:00,"{'symbol': 'https://images.pokemontcg.io/dp5/symbol.png', 'logo': 'https://images.pokemontcg.io/dp5/logo.png'}"
47,dp6,Legends Awakened,Diamond & Pearl,146,146,{'unlimited': 'Legal'},LA,2008/08/01,2018/03/04 10:35:00,"{'symbol': 'https://images.pokemontcg.io/dp6/symbol.png', 'logo': 'https://images.pokemontcg.io/dp6/logo.png'}"
48,pop8,POP Series 8,POP,17,17,{'unlimited': 'Legal'},,2008/09/01,2018/03/04 10:35:00,"{'symbol': 'https://images.pokemontcg.io/pop8/symbol.png', 'logo': 'https://images.pokemontcg.io/pop8/logo.png'}"
49,dp7,Stormfront,Diamond & Pearl,100,103,{'unlimited': 'Legal'},SF,2008/11/01,2020/05/01 16:06:00,"{'symbol': 'https://images.pokemontcg.io/dp7/symbol.png', 'logo': 'https://images.pokemontcg.io/dp7/logo.png'}"
50,pl1,Platinum,Platinum,127,130,{'unlimited': 'Legal'},PL,2009/02/11,2020/08/14 09:35:00,"{'symbol': 'https://images.pokemontcg.io/pl1/symbol.png', 'logo': 'https://images.pokemontcg.io/pl1/logo.png'}"
51,pop9,POP Series 9,POP,17,17,{'unlimited': 'Legal'},,2009/03/01,2020/05/01 16:06:00,"{'symbol': 'https://images.pokemontcg.io/pop9/symbol.png', 'logo': 'https://images.pokemontcg.io/pop9/logo.png'}"
52,pl2,Rising Rivals,Platinum,111,114,{'unlimited': 'Legal'},RR,2009/05/16,2020/08/14 09:35:00,"{'symbol': 'https://images.pokemontcg.io/pl2/symbol.png', 'logo': 'https://images.pokemontcg.io/pl2/logo.png'}"
53,pl3,Supreme Victors,Platinum,147,150,{'unlimited': 'Legal'},SV,2009/08/19,2018/03/07 22:40:00,"{'symbol': 'https://images.pokemontcg.io/pl3/symbol.png', 'logo': 'https://images.pokemontcg.io/pl3/logo.png'}"
54,pl4,Arceus,Platinum,99,99,{'unlimited': 'Legal'},AR,2009/11/04,2020/08/14 09:35:00,"{'symbol': 'https://images.pokemontcg.io/pl4/symbol.png', 'logo': 'https://images.pokemontcg.io/pl4/logo.png'}"
55,ru1,Pokémon Rumble,Other,16,16,{'unlimited': 'Legal'},,2009/12/02,2019/01/28 16:44:00,"{'symbol': 'https://images.pokemontcg.io/ru1/symbol.png', 'logo': 'https://images.pokemontcg.io/ru1/logo.png'}"
56,hgss1,HeartGold & SoulSilver,HeartGold & SoulSilver,123,123,{'unlimited': 'Legal'},HS,2010/02/10,2018/03/04 10:35:00,"{'symbol': 'https://images.pokemontcg.io/hgss1/symbol.png', 'logo': 'https://images.pokemontcg.io/hgss1/logo.png'}"
57,hsp,HGSS Black Star Promos,HeartGold & SoulSilver,25,25,{'unlimited': 'Legal'},PR-HS,2010/02/10,2019/01/28 16:44:00,"{'symbol': 'https://images.pokemontcg.io/hsp/symbol.png', 'logo': 'https://images.pokemontcg.io/hsp/logo.png'}"
58,hgss2,HS—Unleashed,HeartGold & SoulSilver,95,95,{'unlimited': 'Legal'},UL,2010/05/12,2018/03/04 10:35:00,"{'symbol': 'https://images.pokemontcg.io/hgss2/symbol.png', 'logo': 'https://images.pokemontcg.io/hgss2/logo.png'}"
59,hgss3,HS—Undaunted,HeartGold & SoulSilver,90,90,{'unlimited': 'Legal'},UD,2010/08/18,2018/03/04 10:35:00,"{'symbol': 'https://images.pokemontcg.io/hgss3/symbol.png', 'logo': 'https://images.pokemontcg.io/hgss3/logo.png'}"
60,hgss4,HS—Triumphant,HeartGold & SoulSilver,102,102,{'unlimited': 'Legal'},TM,2010/11/03,2018/03/04 10:35:00,"{'symbol': 'https://images.pokemontcg.io/hgss4/symbol.png', 'logo': 'https://images.pokemontcg.io/hgss4/logo.png'}"
61,col1,Call of Legends,HeartGold & SoulSilver,106,106,{'unlimited': 'Legal'},CL,2011/02/09,2018/03/04 10:35:00,"{'symbol': 'https://images.pokemontcg.io/col1/symbol.png', 'logo': 'https://images.pokemontcg.io/col1/logo.png'}"
62,bwp,BW Black Star Promos,Black & White,101,101,"{'unlimited': 'Legal', 'expanded': 'Legal'}",PR-BLW,2011/03/01,2020/08/14 09:35:00,"{'symbol': 'https://images.pokemontcg.io/bwp/symbol.png', 'logo': 'https://images.pokemontcg.io/bwp/logo.png'}"
63,bw1,Black & White,Black & White,114,114,"{'unlimited': 'Legal', 'expanded': 'Legal'}",BLW,2011/04/25,2018/11/29 19:56:00,"{'symbol': 'https://images.pokemontcg.io/bw1/symbol.png', 'logo': 'https://images.pokemontcg.io/bw1/logo.png'}"
64,mcd11,McDonald's Collection 2011,Other,12,12,{'unlimited': 'Legal'},,2011/06/17,2020/11/11 13:00:00,"{'symbol': 'https://images.pokemontcg.io/mcd11/symbol.png', 'logo': 'https://images.pokemontcg.io/mcd11/logo.png'}"
65,bw2,Emerging Powers,Black & White,98,98,"{'unlimited': 'Legal', 'expanded': 'Legal'}",EPO,2011/08/31,2018/03/04 10:35:00,"{'symbol': 'https://images.pokemontcg.io/bw2/symbol.png', 'logo': 'https://images.pokemontcg.io/bw2/logo.png'}"
66,bw3,Noble Victories,Black & White,101,102,"{'unlimited': 'Legal', 'expanded': 'Legal'}",NVI,2011/11/16,2018/03/04 10:35:00,"{'symbol': 'https://images.pokemontcg.io/bw3/symbol.png', 'logo': 'https://images.pokemontcg.io/bw3/logo.png'}"
67,bw4,Next Destinies,Black & White,99,103,"{'unlimited': 'Legal', 'expanded': 'Legal'}",NXD,2012/02/08,2019/01/28 16:44:00,"{'symbol': 'https://images.pokemontcg.io/bw4/symbol.png', 'logo': 'https://images.pokemontcg.io/bw4/logo.png'}"
68,bw5,Dark Explorers,Black & White,108,111,"{'unlimited': 'Legal', 'expanded': 'Legal'}",DEX,2012/05/09,2018/03/04 10:35:00,"{'symbol': 'https://images.pokemontcg.io/bw5/symbol.png', 'logo': 'https://images.pokemontcg.io/bw5/logo.png'}"
69,mcd12,McDonald's Collection 2012,Other,12,12,{'unlimited': 'Legal'},,2012/06/15,2020/11/11 13:00:00,"{'symbol': 'https://images.pokemontcg.io/mcd12/symbol.png', 'logo': 'https://images.pokemontcg.io/mcd12/logo.png'}"
70,bw6,Dragons Exalted,Black & White,124,128,"{'unlimited': 'Legal', 'expanded': 'Legal'}",DRX,2012/08/15,2018/03/04 10:35:00,"{'symbol': 'https://images.pokemontcg.io/bw6/symbol.png', 'logo': 'https://images.pokemontcg.io/bw6/logo.png'}"
71,dv1,Dragon Vault,Black & White,20,20,"{'unlimited': 'Legal', 'expanded': 'Legal'}",DRV,2012/10/05,2019/01/28 16:44:00,"{'symbol': 'https://images.pokemontcg.io/dv1/symbol.png', 'logo': 'https://images.pokemontcg.io/dv1/logo.png'}"
72,bw7,Boundaries Crossed,Black & White,149,153,"{'unlimited': 'Legal', 'expanded': 'Legal'}",BCR,2012/11/07,2018/03/04 10:35:00,"{'symbol': 'https://images.pokemontcg.io/bw7/symbol.png', 'logo': 'https://images.pokemontcg.io/bw7/logo.png'}"
73,bw8,Plasma Storm,Black & White,135,138,"{'unlimited': 'Legal', 'expanded': 'Legal'}",PLS,2013/02/06,2020/08/14 09:35:00,"{'symbol': 'https://images.pokemontcg.io/bw8/symbol.png', 'logo': 'https://images.pokemontcg.io/bw8/logo.png'}"
74,bw9,Plasma Freeze,Black & White,116,122,"{'unlimited': 'Legal', 'expanded': 'Legal'}",PLF,2013/05/08,2018/03/04 10:35:00,"{'symbol': 'https://images.pokemontcg.io/bw9/symbol.png', 'logo': 'https://images.pokemontcg.io/bw9/logo.png'}"
75,bw10,Plasma Blast,Black & White,101,105,"{'unlimited': 'Legal', 'expanded': 'Legal'}",PLB,2013/08/14,2018/03/04 10:35:00,"{'symbol': 'https://images.pokemontcg.io/bw10/symbol.png', 'logo': 'https://images.pokemontcg.io/bw10/logo.png'}"
76,xyp,XY Black Star Promos,XY,183,183,"{'unlimited': 'Legal', 'expanded': 'Legal'}",PR-XY,2013/10/12,2020/08/14 09:35:00,"{'symbol': 'https://images.pokemontcg.io/xyp/symbol.png', 'logo': 'https://images.pokemontcg.io/xyp/logo.png'}"
77,bw11,Legendary Treasures,Black & White,113,115,"{'unlimited': 'Legal', 'expanded': 'Legal'}",LTR,2013/11/06,2018/03/04 10:35:00,"{'symbol': 'https://images.pokemontcg.io/bw11/symbol.png', 'logo': 'https://images.pokemontcg.io/bw11/logo.png'}"
78,xy0,Kalos Starter Set,XY,39,39,"{'unlimited': 'Legal', 'expanded': 'Legal'}",KSS,2013/11/08,2018/03/04 10:35:00,"{'symbol': 'https://images.pokemontcg.io/xy0/symbol.png', 'logo': 'https://images.pokemontcg.io/xy0/logo.png'}"
79,xy1,XY,XY,146,146,"{'unlimited': 'Legal', 'expanded': 'Legal'}",XY,2014/02/05,2018/03/04 10:35:00,"{'symbol': 'https://images.pokemontcg.io/xy1/symbol.png', 'logo': 'https://images.pokemontcg.io/xy1/logo.png'}"
80,xy2,Flashfire,XY,106,109,"{'unlimited': 'Legal', 'expanded': 'Legal'}",FLF,2014/05/07,2018/03/04 10:35:00,"{'symbol': 'https://images.pokemontcg.io/xy2/symbol.png', 'logo': 'https://images.pokemontcg.io/xy2/logo.png'}"
81,xy3,Furious Fists,XY,111,113,"{'unlimited': 'Legal', 'expanded': 'Legal'}",FFI,2014/08/13,2018/03/04 10:35:00,"{'symbol': 'https://images.pokemontcg.io/xy3/symbol.png', 'logo': 'https://images.pokemontcg.io/xy3/logo.png'}"
82,xy4,Phantom Forces,XY,119,119,"{'unlimited': 'Legal', 'expanded': 'Legal'}",PHF,2014/11/05,2020/08/14 09:35:00,"{'symbol': 'https://images.pokemontcg.io/xy4/symbol.png', 'logo': 'https://images.pokemontcg.io/xy4/logo.png'}"
83,xy5,Primal Clash,XY,160,160,"{'unlimited': 'Legal', 'expanded': 'Legal'}",PRC,2015/02/04,2020/05/01 16:06:00,"{'symbol': 'https://images.pokemontcg.io/xy5/symbol.png', 'logo': 'https://images.pokemontcg.io/xy5/logo.png'}"
84,dc1,Double Crisis,XY,34,34,"{'unlimited': 'Legal', 'expanded': 'Legal'}",DCR,2015/03/25,2019/01/28 16:44:00,"{'symbol': 'https://images.pokemontcg.io/dc1/symbol.png', 'logo': 'https://images.pokemontcg.io/dc1/logo.png'}"
85,xy6,Roaring Skies,XY,108,110,"{'unlimited': 'Legal', 'expanded': 'Legal'}",ROS,2015/05/06,2020/08/14 09:35:00,"{'symbol': 'https://images.pokemontcg.io/xy6/symbol.png', 'logo': 'https://images.pokemontcg.io/xy6/logo.png'}"
86,xy7,Ancient Origins,XY,98,100,"{'unlimited': 'Legal', 'expanded': 'Legal'}",AOR,2015/08/12,2020/08/14 09:35:00,"{'symbol': 'https://images.pokemontcg.io/xy7/symbol.png', 'logo': 'https://images.pokemontcg.io/xy7/logo.png'}"
87,xy8,BREAKthrough,XY,162,164,"{'unlimited': 'Legal', 'expanded': 'Legal'}",BKT,2015/11/04,2019/04/10 19:59:00,"{'symbol': 'https://images.pokemontcg.io/xy8/symbol.png', 'logo': 'https://images.pokemontcg.io/xy8/logo.png'}"
88,xy9,BREAKpoint,XY,122,123,"{'unlimited': 'Legal', 'expanded': 'Legal'}",BKP,2016/02/03,2020/08/14 09:35:00,"{'symbol': 'https://images.pokemontcg.io/xy9/symbol.png', 'logo': 'https://images.pokemontcg.io/xy9/logo.png'}"
89,g1,Generations,XY,115,115,"{'unlimited': 'Legal', 'expanded': 'Legal'}",GEN,2016/02/22,2020/08/14 09:35:00,"{'symbol': 'https://images.pokemontcg.io/g1/symbol.png', 'logo': 'https://images.pokemontcg.io/g1/logo.png'}"
90,xy10,Fates Collide,XY,124,125,"{'unlimited': 'Legal', 'expanded': 'Legal'}",FCO,2016/05/02,2018/09/03 11:49:00,"{'symbol': 'https://images.pokemontcg.io/xy10/symbol.png', 'logo': 'https://images.pokemontcg.io/xy10/logo.png'}"
91,xy11,Steam Siege,XY,114,116,"{'unlimited': 'Legal', 'expanded': 'Legal'}",STS,2016/08/03,2019/04/10 19:59:00,"{'symbol': 'https://images.pokemontcg.io/xy11/symbol.png', 'logo': 'https://images.pokemontcg.io/xy11/logo.png'}"
92,mcd16,McDonald's Collection 2016,Other,12,12,{'unlimited': 'Legal'},,2016/08/19,2020/11/11 13:00:00,"{'symbol': 'https://images.pokemontcg.io/mcd16/symbol.png', 'logo': 'https://images.pokemontcg.io/mcd16/logo.png'}"
93,xy12,Evolutions,XY,108,109,"{'unlimited': 'Legal', 'expanded': 'Legal'}",EVO,2016/11/02,2020/09/25 10:09:00,"{'symbol': 'https://images.pokemontcg.io/xy12/symbol.png', 'logo': 'https://images.pokemontcg.io/xy12/logo.png'}"
94,sm1,Sun & Moon,Sun & Moon,149,149,"{'unlimited': 'Legal', 'expanded': 'Legal'}",SUM,2017/02/03,2019/04/10 19:59:00,"{'symbol': 'https://images.pokemontcg.io/sm1/symbol.png', 'logo': 'https://images.pokemontcg.io/sm1/logo.png'}"
95,smp,SM Black Star Promos,Sun & Moon,156,156,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",PR-SM,2017/02/03,2020/05/01 16:06:00,"{'symbol': 'https://images.pokemontcg.io/smp/symbol.png', 'logo': 'https://images.pokemontcg.io/smp/logo.png'}"
96,sm2,Guardians Rising,Sun & Moon,145,145,"{'unlimited': 'Legal', 'expanded': 'Legal'}",GRI,2017/05/05,2019/02/19 23:25:00,"{'symbol': 'https://images.pokemontcg.io/sm2/symbol.png', 'logo': 'https://images.pokemontcg.io/sm2/logo.png'}"
97,sm3,Burning Shadows,Sun & Moon,147,147,"{'unlimited': 'Legal', 'expanded': 'Legal'}",BUS,2017/08/05,2019/02/19 23:25:00,"{'symbol': 'https://images.pokemontcg.io/sm3/symbol.png', 'logo': 'https://images.pokemontcg.io/sm3/logo.png'}"
98,sm35,Shining Legends,Sun & Moon,73,78,"{'unlimited': 'Legal', 'expanded': 'Legal'}",SLG,2017/10/06,2019/02/19 23:25:00,"{'symbol': 'https://images.pokemontcg.io/sm35/symbol.png', 'logo': 'https://images.pokemontcg.io/sm35/logo.png'}"
99,sm4,Crimson Invasion,Sun & Moon,111,111,"{'unlimited': 'Legal', 'expanded': 'Legal'}",CIN,2017/11/03,2019/02/19 23:25:00,"{'symbol': 'https://images.pokemontcg.io/sm4/symbol.png', 'logo': 'https://images.pokemontcg.io/sm4/logo.png'}"
100,sm5,Ultra Prism,Sun & Moon,156,156,"{'unlimited': 'Legal', 'expanded': 'Legal'}",UPR,2018/02/02,2019/02/19 23:25:00,"{'symbol': 'https://images.pokemontcg.io/sm5/symbol.png', 'logo': 'https://images.pokemontcg.io/sm5/logo.png'}"
101,sm6,Forbidden Light,Sun & Moon,131,146,"{'unlimited': 'Legal', 'expanded': 'Legal'}",FLI,2018/05/04,2019/02/19 23:25:00,"{'symbol': 'https://images.pokemontcg.io/sm6/symbol.png', 'logo': 'https://images.pokemontcg.io/sm6/logo.png'}"
102,sm7,Celestial Storm,Sun & Moon,168,168,"{'unlimited': 'Legal', 'expanded': 'Legal'}",CES,2018/08/03,2019/02/19 23:25:00,"{'symbol': 'https://images.pokemontcg.io/sm7/symbol.png', 'logo': 'https://images.pokemontcg.io/sm7/logo.png'}"
103,sm75,Dragon Majesty,Sun & Moon,70,78,"{'unlimited': 'Legal', 'expanded': 'Legal'}",DRM,2018/09/07,2018/10/01 21:54:00,"{'symbol': 'https://images.pokemontcg.io/sm75/symbol.png', 'logo': 'https://images.pokemontcg.io/sm75/logo.png'}"
104,sm8,Lost Thunder,Sun & Moon,214,236,"{'unlimited': 'Legal', 'expanded': 'Legal'}",LOT,2018/11/02,2020/08/14 09:35:00,"{'symbol': 'https://images.pokemontcg.io/sm8/symbol.png', 'logo': 'https://images.pokemontcg.io/sm8/logo.png'}"
105,sm9,Team Up,Sun & Moon,181,196,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",TEU,2019/02/01,2020/08/14 09:35:00,"{'symbol': 'https://images.pokemontcg.io/sm9/symbol.png', 'logo': 'https://images.pokemontcg.io/sm9/logo.png'}"
