,id,name,supertype,subtypes,hp,types,evolvesTo,attacks,retreatCost,convertedRetreatCost,set,number,artist,rarity,nationalPokedexNumbers,legalities,images,tcgplayer,evolvesFrom,weaknesses,resistances,flavorText,level,abilities,rules
10,dpp-DP04,Pachirisu,Pokémon,['Basic'],70,['Lightning'],,"[{'name': 'Minor Errand-Running', 'cost': ['Colorless'], 'convertedEnergyCost': 1, 'damage': '', 'text': 'Search your deck for a basic Energy card, show it to your opponent, and put it into your hand. Shuffle your deck afterward.'}, {'name': 'Thunder Jolt', 'cost': ['Lightning'], 'convertedEnergyCost': 1, 'damage': '20', 'text': 'Flip a coin. If tails, Pachirisu does 10 damage to itself.'}]",['Colorless'],1.0,"{'id': 'dpp', 'name': 'DP Black Star Promos', 'series': 'Diamond & Pearl', 'printedTotal': 56, 'total': 56, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'PR-DPP', 'releaseDate': '2007/05/01', 'updatedAt': '2020/08/14 09:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/dpp/symbol.png', 'logo': 'https://images.pokemontcg.io/dpp/logo.png'}}",DP04,Atsuko Nishida,Promo,[417],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/dpp/DP04.png', 'large': 'https://images.pokemontcg.io/dpp/DP04_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/dpp-DP04', 'updatedAt': '2021/05/13', 'prices': {'holofoil': {'low': 3.97, 'mid': 4.75, 'high': 8.99, 'market': 1.33, 'directLow': None}}}",,"[{'type': 'Fighting', 'value': '+20'}]","[{'type': 'Metal', 'value': '-20'}]",It makes fur balls that crackle with static electricity. It stores them with berries in tree holes.,,,
11,basep-3,Mewtwo,Pokémon,['Basic'],70,['Psychic'],,"[{'name': 'Energy Absorption', 'cost': ['Psychic'], 'convertedEnergyCost': 1, 'damage': '', 'text': 'Choose up to 2 Energy cards from your discard pile and attach them to Mewtwo.'}, {'name': 'Psyburn', 'cost': ['Psychic', 'Psychic', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '40', 'text': ''}]","['Colorless', 'Colorless']",2.0,"{'id': 'basep', 'name': 'Wizards Black Star Promos', 'series': 'Base', 'printedTotal': 53, 'total': 53, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'PR', 'releaseDate': '1999/07/01', 'updatedAt': '2020/08/14 09:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/basep/symbol.png', 'logo': 'https://images.pokemontcg.io/basep/logo.png'}}",3,Ken Sugimori,Promo,[150],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/basep/3.png', 'large': 'https://images.pokemontcg.io/basep/3_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/basep-3', 'updatedAt': '2021/05/13', 'prices': {'normal': {'low': 5.0, 'mid': 9.99, 'high': 34.95, 'market': 14.8, 'directLow': None}}}",,"[{'type': 'Psychic', 'value': '×2'}]",,Years of genetic experiments resulted in the creation of this never-before-seen violent Pokémon.,60,,
12,mcd19-6,Pikachu,Pokémon,['Basic'],60,['Lightning'],['Raichu'],"[{'cost': ['Lightning'], 'name': 'Iron Tail', 'text': 'Flip a coin until you get tails. This attack does 20 damage for each heads.', 'damage': '20', 'convertedEnergyCost': 1}]",['Colorless'],1.0,"{'id': 'mcd19', 'name': ""McDonald's Collection 2019"", 'series': 'Other', 'printedTotal': 12, 'total': 12, 'legalities': {'unlimited': 'Legal'}, 'releaseDate': '2019/10/15', 'updatedAt': '2020/11/11 13:00:00', 'images': {'symbol': 'https://images.pokemontcg.io/mcd19/symbol.png', 'logo': 'https://images.pokemontcg.io/mcd19/logo.png'}}",6,Kagemaru Himeno,Promo,[25],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/mcd19/6.png', 'large': 'https://images.pokemontcg.io/mcd19/6_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/mcd19-6', 'updatedAt': '2021/05/13', 'prices': {'holofoil': {'low': 19.0, 'mid': 24.94, 'high': 26.5, 'market': 20.17, 'directLow': None}}}",,,,,,,
13,mcd19-7,Gastly,Pokémon,['Basic'],50,['Psychic'],['Haunter'],"[{'cost': ['Psychic'], 'name': 'Ominous Eyes', 'text': ""Put 1 damage counter on 1 of your opponent's Pokémon."", 'damage': None, 'convertedEnergyCost': 1}]",['Colorless'],1.0,"{'id': 'mcd19', 'name': ""McDonald's Collection 2019"", 'series': 'Other', 'printedTotal': 12, 'total': 12, 'legalities': {'unlimited': 'Legal'}, 'releaseDate': '2019/10/15', 'updatedAt': '2020/11/11 13:00:00', 'images': {'symbol': 'https://images.pokemontcg.io/mcd19/symbol.png', 'logo': 'https://images.pokemontcg.io/mcd19/logo.png'}}",7,Shibuzoh.,Promo,[92],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/mcd19/7.png', 'large': 'https://images.pokemontcg.io/mcd19/7_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/mcd19-7', 'updatedAt': '2021/05/13', 'prices': {'holofoil': {'low': 8.0, 'mid': 9.95, 'high': 11.99, 'market': 10.75, 'directLow': None}}}",,,,,,,
14,basep-4,Pikachu,Pokémon,['Basic'],50,['Lightning'],['Raichu'],"[{'name': 'Recharge', 'cost': ['Lightning'], 'convertedEnergyCost': 1, 'damage': '', 'text': 'Search your deck for a Lightning Energy card and attach it to Pikachu. Shuffle your deck afterward.'}, {'name': 'Thunderbolt', 'cost': ['Lightning', 'Lightning', 'Lightning'], 'convertedEnergyCost': 3, 'damage': '50', 'text': 'Discard all Energy cards attached to Pikachu in order to use this attack.'}]",['Colorless'],1.0,"{'id': 'basep', 'name': 'Wizards Black Star Promos', 'series': 'Base', 'printedTotal': 53, 'total': 53, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'PR', 'releaseDate': '1999/07/01', 'updatedAt': '2020/08/14 09:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/basep/symbol.png', 'logo': 'https://images.pokemontcg.io/basep/logo.png'}}",4,Ken Sugimori,Promo,[25],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/basep/4.png', 'large': 'https://images.pokemontcg.io/basep/4_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/basep-4', 'updatedAt': '2021/05/13', 'prices': {'normal': {'low': 6.96, 'mid': 10.09, 'high': 28.0, 'market': 11.63, 'directLow': None}}}",,"[{'type': 'Fighting', 'value': '×2'}]",,"When several of these Pokémon gather, they attract so much electricity that they can cause lightning to strike.",13,,
15,basep-5,Dragonite,Pokémon,['Stage 2'],90,['Colorless'],,"[{'name': 'Supersonic Flight', 'cost': ['Colorless', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '60', 'text': 'Flip a coin. If tails, this attack does nothing.'}]","['Colorless', 'Colorless']",2.0,"{'id': 'basep', 'name': 'Wizards Black Star Promos', 'series': 'Base', 'printedTotal': 53, 'total': 53, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'PR', 'releaseDate': '1999/07/01', 'updatedAt': '2020/08/14 09:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/basep/symbol.png', 'logo': 'https://images.pokemontcg.io/basep/logo.png'}}",5,Toshinao Aoki,Promo,[149],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/basep/5.png', 'large': 'https://images.pokemontcg.io/basep/5_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/basep-5', 'updatedAt': '2021/05/13', 'prices': {'normal': {'low': 7.0, 'mid': 10.92, 'high': 48.0, 'market': 16.21, 'directLow': None}}}",Dragonair,,"[{'type': 'Fighting', 'value': '-30'}]",This Pokémon can fly is spite of its large bulk. It is said to be able to circumnavigate the earth in just 16 hours.,43,"[{'name': 'Special Delivery', 'text': ""Once during your turn (before your attack), you may draw a card. If you do, choose a card from your hand and put it on top of your deck. This power can't be used if Dragonite is Asleep, Confused, or Paralyzed."", 'type': 'Pokémon Power'}]",
16,mcd19-8,Mankey,Pokémon,['Basic'],60,['Fighting'],['Primeape'],"[{'cost': ['Fighting'], 'name': 'Three-Step Strike', 'text': 'Flip 3 coins. This attack does 10 damage for each heads.', 'damage': '10', 'convertedEnergyCost': 1}]",['Colorless'],1.0,"{'id': 'mcd19', 'name': ""McDonald's Collection 2019"", 'series': 'Other', 'printedTotal': 12, 'total': 12, 'legalities': {'unlimited': 'Legal'}, 'releaseDate': '2019/10/15', 'updatedAt': '2020/11/11 13:00:00', 'images': {'symbol': 'https://images.pokemontcg.io/mcd19/symbol.png', 'logo': 'https://images.pokemontcg.io/mcd19/logo.png'}}",8,Miki Tanaka,Promo,[56],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/mcd19/8.png', 'large': 'https://images.pokemontcg.io/mcd19/8_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/mcd19-8', 'updatedAt': '2021/05/13', 'prices': {'holofoil': {'low': 2.0, 'mid': 6.01, 'high': 15.0, 'market': 2.29, 'directLow': None}}}",,,,,,,
17,dpp-DP06,Buneary,Pokémon,['Basic'],50,['Colorless'],['Lopunny'],"[{'name': 'Splash', 'cost': ['Colorless'], 'convertedEnergyCost': 1, 'damage': '10', 'text': ''}, {'name': 'Jump Kick', 'cost': ['Colorless', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '10', 'text': ""Does 10 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",['Colorless'],1.0,"{'id': 'dpp', 'name': 'DP Black Star Promos', 'series': 'Diamond & Pearl', 'printedTotal': 56, 'total': 56, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'PR-DPP', 'releaseDate': '2007/05/01', 'updatedAt': '2020/08/14 09:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/dpp/symbol.png', 'logo': 'https://images.pokemontcg.io/dpp/logo.png'}}",DP06,Kagemaru Himeno,Promo,[427],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/dpp/DP06.png', 'large': 'https://images.pokemontcg.io/dpp/DP06_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/dpp-DP06', 'updatedAt': '2021/05/13', 'prices': {'holofoil': {'low': 2.21, 'mid': 10.9, 'high': 14.47, 'market': 10.05, 'directLow': None}}}",,"[{'type': 'Fighting', 'value': '+10'}]",,It slams foes by sharply uncoiling its rolled ears. It stings enough to make a grown-up cry in pain.,,,
18,basep-6,Arcanine,Pokémon,['Stage 1'],70,['Fire'],,"[{'name': 'Quick Attack', 'cost': ['Colorless', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '10+', 'text': 'Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage.'}, {'name': 'Flames of Rage', 'cost': ['Fire', 'Fire'], 'convertedEnergyCost': 2, 'damage': '40+', 'text': 'Discard 2 Fire Energy cards attached to Arcanine in order to use this attack. This attack does 40 damage plus 10 more damage for each damage counter on Arcanine.'}]",['Colorless'],1.0,"{'id': 'basep', 'name': 'Wizards Black Star Promos', 'series': 'Base', 'printedTotal': 53, 'total': 53, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'PR', 'releaseDate': '1999/07/01', 'updatedAt': '2020/08/14 09:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/basep/symbol.png', 'logo': 'https://images.pokemontcg.io/basep/logo.png'}}",6,Ken Sugimori,Promo,[59],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/basep/6.png', 'large': 'https://images.pokemontcg.io/basep/6_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/basep-6', 'updatedAt': '2021/05/13', 'prices': {'normal': {'low': 5.76, 'mid': 9.78, 'high': 30.0, 'market': 10.53, 'directLow': None}}}",Growlithe,"[{'type': 'Water', 'value': '×2'}]",,A legendary Pokémon famous for its beauty. It looks almost as if it flies when it runs.,34,,
19,mcd19-9,Onix,Pokémon,['Basic'],100,['Fighting'],['Steelix'],"[{'cost': ['Colorless'], 'name': 'Screech', 'text': 'During your next turn, the Defending Pokémon takes 20 more damage from attacks (after applying Weakness and Resistance).', 'damage': None, 'convertedEnergyCost': 1}, {'cost': ['Fighting', 'Fighting'], 'name': 'Rage', 'text': 'This attack does 10 more damage for each damage counter on this Pokémon.', 'damage': '10+', 'convertedEnergyCost': 2}]","['Colorless', 'Colorless']",2.0,"{'id': 'mcd19', 'name': ""McDonald's Collection 2019"", 'series': 'Other', 'printedTotal': 12, 'total': 12, 'legalities': {'unlimited': 'Legal'}, 'releaseDate': '2019/10/15', 'updatedAt': '2020/11/11 13:00:00', 'images': {'symbol': 'https://images.pokemontcg.io/mcd19/symbol.png', 'logo': 'https://images.pokemontcg.io/mcd19/logo.png'}}",9,Mitsuhiro Arita,Promo,[95],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/mcd19/9.png', 'large': 'https://images.pokemontcg.io/mcd19/9_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/mcd19-9', 'updatedAt': '2021/05/13', 'prices': {'holofoil': {'low': 2.99, 'mid': 4.22, 'high': 8.0, 'market': 4.12, 'directLow': None}}}",,,,,,,
20,dpp-DP07,Cranidos,Pokémon,['Stage 1'],70,['Fighting'],['Rampardos'],"[{'name': 'Headbutt', 'cost': ['Colorless'], 'convertedEnergyCost': 1, 'damage': '20', 'text': ''}, {'name': 'Steamroll', 'cost': ['Fighting', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '30', 'text': ""Does 20 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",['Colorless'],1.0,"{'id': 'dpp', 'name': 'DP Black Star Promos', 'series': 'Diamond & Pearl', 'printedTotal': 56, 'total': 56, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'PR-DPP', 'releaseDate': '2007/05/01', 'updatedAt': '2020/08/14 09:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/dpp/symbol.png', 'logo': 'https://images.pokemontcg.io/dpp/logo.png'}}",DP07,Mitsuhiro Arita,Promo,[408],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/dpp/DP07.png', 'large': 'https://images.pokemontcg.io/dpp/DP07_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/dpp-DP07', 'updatedAt': '2021/05/13', 'prices': {'holofoil': {'low': 2.84, 'mid': 3.76, 'high': 11.98, 'market': 2.18, 'directLow': None}}}",Skull Fossil,"[{'type': 'Grass', 'value': '+20'}]",,It lived in jungles around 100 million years ago. Its skull is as hard as iron.,,,
