id,name,number,legalities,images,prices,set_id,set_name,date
swsh35-9,Sizzlipede,009/073,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh35/9.png', 'large': 'https://images.pokemontcg.io/swsh35/9_hires.png'}","{'normal': {'low': 0.03, 'mid': 0.15, 'high': 1.0, 'market': 0.05}, 'reverseHolofoil': {'low': 0.05, 'mid': 0.26, 'high': 1.47, 'market': 0.24}}",swsh35,Champion's Path,2021-06-03 20:20:32.344712
swsh1-8,Durant,008/202,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh1/8.png', 'large': 'https://images.pokemontcg.io/swsh1/8_hires.png'}","{'reverseHolofoil': {'low': 0.15, 'mid': 0.48, 'high': 9.95, 'market': 0.43}, 'normal': {'low': 0.09, 'mid': 0.25, 'high': 10.88, 'market': 0.23}}",swsh1,Sword & Shield,2021-06-03 20:20:32.344712
swsh2-2,Metapod,002/192,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh2/2.png', 'large': 'https://images.pokemontcg.io/swsh2/2_hires.png'}","{'reverseHolofoil': {'low': 0.14, 'mid': 0.31, 'high': 1.24, 'market': 0.32}, 'normal': {'low': 0.03, 'mid': 0.2, 'high': 1.0, 'market': 0.09}}",swsh2,Rebel Clash,2021-06-03 20:20:32.344712
swsh35-10,Centiskorch,010/073,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh35/10.png', 'large': 'https://images.pokemontcg.io/swsh35/10_hires.png'}","{'holofoil': {'low': 0.04, 'mid': 0.3, 'high': 5.0, 'market': 0.25}, 'reverseHolofoil': {'low': 0.1, 'mid': 0.45, 'high': 5.0, 'market': 0.27}}",swsh35,Champion's Path,2021-06-03 20:20:32.344712
swsh1-9,Dhelmise V,009/202,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh1/9.png', 'large': 'https://images.pokemontcg.io/swsh1/9_hires.png'}","{'holofoil': {'low': 0.48, 'mid': 1.75, 'high': 10.0, 'market': 1.19}}",swsh1,Sword & Shield,2021-06-03 20:20:32.344712
swsh2-3,Butterfree,003/192,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh2/3.png', 'large': 'https://images.pokemontcg.io/swsh2/3_hires.png'}","{'holofoil': {'low': 0.2, 'mid': 0.35, 'high': 2.0, 'market': 0.38}, 'normal': {'low': 0.08, 'mid': 0.31, 'high': 1.25, 'market': 0.32}, 'reverseHolofoil': {'low': 0.35, 'mid': 0.64, 'high': 1.5, 'market': 0.77}}",swsh2,Rebel Clash,2021-06-03 20:20:32.344712
swsh3-3,Paras,003/189,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh3/3.png', 'large': 'https://images.pokemontcg.io/swsh3/3_hires.png'}","{'normal': {'low': 0.01, 'mid': 0.15, 'high': 10.81, 'market': 0.06}, 'reverseHolofoil': {'low': 0.05, 'mid': 0.25, 'high': 10.83, 'market': 0.22}}",swsh3,Darkness Ablaze,2021-06-03 20:20:32.344712
swsh2-4,Scyther,004/192,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh2/4.png', 'large': 'https://images.pokemontcg.io/swsh2/4_hires.png'}","{'reverseHolofoil': {'low': 0.14, 'mid': 0.33, 'high': 1.0, 'market': 0.33}, 'normal': {'low': 0.02, 'mid': 0.2, 'high': 4.78, 'market': 0.07}}",swsh2,Rebel Clash,2021-06-03 20:20:32.344712
swsh35-11,Carvanha,011/073,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh35/11.png', 'large': 'https://images.pokemontcg.io/swsh35/11_hires.png'}","{'normal': {'low': 0.02, 'mid': 0.1, 'high': 1.0, 'market': 0.04}, 'reverseHolofoil': {'low': 0.09, 'mid': 0.29, 'high': 1.57, 'market': 0.23}}",swsh35,Champion's Path,2021-06-03 20:20:32.344712
swshp-SWSH001,Grookey,SWSH001,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swshp/SWSH001.png', 'large': 'https://images.pokemontcg.io/swshp/SWSH001_hires.png'}","{'holofoil': {'low': 0.99, 'mid': 3.75, 'high': 14.37, 'market': 3.48}}",swshp,SWSH Black Star Promos,2021-06-03 20:20:32.344712
swsh4-7,Yanmega,007/185,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh4/7.png', 'large': 'https://images.pokemontcg.io/swsh4/7_hires.png'}","{'reverseHolofoil': {'low': 0.2, 'mid': 0.65, 'high': 999.99, 'market': 0.67}, 'normal': {'low': 0.05, 'mid': 0.27, 'high': 999.99, 'market': 0.29}}",swsh4,Vivid Voltage,2021-06-03 20:20:32.344712
swsh1-10,Grookey,010/202,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh1/10.png', 'large': 'https://images.pokemontcg.io/swsh1/10_hires.png'}","{'normal': {'low': 0.01, 'mid': 0.15, 'high': 10.81, 'market': 0.07}, 'reverseHolofoil': {'low': 0.1, 'mid': 0.26, 'high': 1.03, 'market': 0.23}}",swsh1,Sword & Shield,2021-06-03 20:20:32.344712
swsh35-12,Sharpedo,012/073,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh35/12.png', 'large': 'https://images.pokemontcg.io/swsh35/12_hires.png'}","{'reverseHolofoil': {'low': 0.09, 'mid': 0.29, 'high': 2.5, 'market': 0.23}, 'normal': {'low': 0.02, 'mid': 0.15, 'high': 1.25, 'market': 0.09}}",swsh35,Champion's Path,2021-06-03 20:20:32.344712
swsh3-4,Parasect,004/189,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh3/4.png', 'large': 'https://images.pokemontcg.io/swsh3/4_hires.png'}","{'normal': {'low': 0.04, 'mid': 0.19, 'high': 10.83, 'market': 0.11}, 'reverseHolofoil': {'low': 0.05, 'mid': 0.25, 'high': 10.83, 'market': 0.19}}",swsh3,Darkness Ablaze,2021-06-03 20:20:32.344712
swsh4-8,Pineco,008/185,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh4/8.png', 'large': 'https://images.pokemontcg.io/swsh4/8_hires.png'}","{'reverseHolofoil': {'low': 0.05, 'mid': 0.26, 'high': 1.28, 'market': 0.27}, 'normal': {'low': 0.02, 'mid': 0.15, 'high': 10.82, 'market': 0.08}}",swsh4,Vivid Voltage,2021-06-03 20:20:32.344712
swshp-SWSH002,Scorbunny,SWSH002,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swshp/SWSH002.png', 'large': 'https://images.pokemontcg.io/swshp/SWSH002_hires.png'}","{'holofoil': {'low': 2.74, 'mid': 3.36, 'high': 6.32, 'market': 3.3}}",swshp,SWSH Black Star Promos,2021-06-03 20:20:32.344712
swsh35-13,Wailord V,013/073,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh35/13.png', 'large': 'https://images.pokemontcg.io/swsh35/13_hires.png'}","{'holofoil': {'low': 0.99, 'mid': 2.0, 'high': 19.95, 'market': 1.92}}",swsh35,Champion's Path,2021-06-03 20:20:32.344712
swsh1-11,Grookey,011/202,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh1/11.png', 'large': 'https://images.pokemontcg.io/swsh1/11_hires.png'}","{'reverseHolofoil': {'low': 0.15, 'mid': 0.33, 'high': 1.05, 'market': 0.33}, 'normal': {'low': 0.03, 'mid': 0.18, 'high': 10.85, 'market': 0.15}}",swsh1,Sword & Shield,2021-06-03 20:20:32.344712
swsh4-9,Celebi,009/185,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh4/9.png', 'large': 'https://images.pokemontcg.io/swsh4/9_hires.png'}","{'holofoil': {'low': 7.49, 'mid': 11.99, 'high': 169.99, 'market': 8.61}}",swsh4,Vivid Voltage,2021-06-03 20:20:32.344712
swsh35-14,Drednaw V,014/073,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh35/14.png', 'large': 'https://images.pokemontcg.io/swsh35/14_hires.png'}","{'holofoil': {'low': 0.85, 'mid': 1.85, 'high': 19.95, 'market': 1.47}}",swsh35,Champion's Path,2021-06-03 20:20:32.344712
swsh2-5,Shuckle,005/192,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh2/5.png', 'large': 'https://images.pokemontcg.io/swsh2/5_hires.png'}","{'normal': {'low': 0.03, 'mid': 0.2, 'high': 0.97, 'market': 0.14}, 'reverseHolofoil': {'low': 0.14, 'mid': 0.29, 'high': 1.22, 'market': 0.25}}",swsh2,Rebel Clash,2021-06-03 20:20:32.344712
swshp-SWSH003,Sobble,SWSH003,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swshp/SWSH003.png', 'large': 'https://images.pokemontcg.io/swshp/SWSH003_hires.png'}","{'holofoil': {'low': 2.4, 'mid': 3.41, 'high': 10.0, 'market': 3.43}}",swshp,SWSH Black Star Promos,2021-06-03 20:20:32.344712
swsh3-5,Carnivine,005/189,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh3/5.png', 'large': 'https://images.pokemontcg.io/swsh3/5_hires.png'}","{'normal': {'low': 0.03, 'mid': 0.15, 'high': 10.82, 'market': 0.09}, 'reverseHolofoil': {'low': 0.05, 'mid': 0.3, 'high': 10.83, 'market': 0.2}}",swsh3,Darkness Ablaze,2021-06-03 20:20:32.344712
swsh1-12,Thwackey,012/202,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh1/12.png', 'large': 'https://images.pokemontcg.io/swsh1/12_hires.png'}","{'reverseHolofoil': {'low': 0.49, 'mid': 0.95, 'high': 11.27, 'market': 0.93}, 'normal': {'low': 0.03, 'mid': 0.23, 'high': 10.87, 'market': 0.22}}",swsh1,Sword & Shield,2021-06-03 20:20:32.344712
swsh3-6,Pansage,006/189,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh3/6.png', 'large': 'https://images.pokemontcg.io/swsh3/6_hires.png'}","{'normal': {'low': 0.03, 'mid': 0.15, 'high': 10.81, 'market': 0.08}, 'reverseHolofoil': {'low': 0.08, 'mid': 0.25, 'high': 10.86, 'market': 0.17}}",swsh3,Darkness Ablaze,2021-06-03 20:20:32.344712
swsh4-10,Seedot,010/185,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh4/10.png', 'large': 'https://images.pokemontcg.io/swsh4/10_hires.png'}","{'normal': {'low': 0.01, 'mid': 0.13, 'high': 10.82, 'market': 0.06}, 'reverseHolofoil': {'low': 0.09, 'mid': 0.25, 'high': 10.88, 'market': 0.26}}",swsh4,Vivid Voltage,2021-06-03 20:20:32.344712
swsh2-6,Heracross,006/192,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh2/6.png', 'large': 'https://images.pokemontcg.io/swsh2/6_hires.png'}","{'reverseHolofoil': {'low': 0.11, 'mid': 0.32, 'high': 1.25, 'market': 0.23}, 'normal': {'low': 0.05, 'mid': 0.21, 'high': 1.08, 'market': 0.1}}",swsh2,Rebel Clash,2021-06-03 20:20:32.344712
swsh35-15,Drednaw VMAX,015/073,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh35/15.png', 'large': 'https://images.pokemontcg.io/swsh35/15_hires.png'}","{'holofoil': {'low': 2.35, 'mid': 3.51, 'high': 49.95, 'market': 2.98}}",swsh35,Champion's Path,2021-06-03 20:20:32.344712
swshp-SWSH004,Meowth V,SWSH004,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swshp/SWSH004.png', 'large': 'https://images.pokemontcg.io/swshp/SWSH004_hires.png'}","{'holofoil': {'low': 0.96, 'mid': 1.75, 'high': 9.95, 'market': 1.39}}",swshp,SWSH Black Star Promos,2021-06-03 20:20:32.344712
swsh2-7,Lotad,007/192,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh2/7.png', 'large': 'https://images.pokemontcg.io/swsh2/7_hires.png'}","{'reverseHolofoil': {'low': 0.1, 'mid': 0.27, 'high': 1.16, 'market': 0.22}, 'normal': {'low': 0.01, 'mid': 0.15, 'high': 0.97, 'market': 0.09}}",swsh2,Rebel Clash,2021-06-03 20:20:32.344712
swsh3-7,Simisage,007/189,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh3/7.png', 'large': 'https://images.pokemontcg.io/swsh3/7_hires.png'}","{'normal': {'low': 0.01, 'mid': 0.15, 'high': 10.81, 'market': 0.07}, 'reverseHolofoil': {'low': 0.09, 'mid': 0.26, 'high': 1.27, 'market': 0.22}}",swsh3,Darkness Ablaze,2021-06-03 20:20:32.344712
swsh4-11,Nuzleaf,011/185,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh4/11.png', 'large': 'https://images.pokemontcg.io/swsh4/11_hires.png'}","{'normal': {'low': 0.03, 'mid': 0.15, 'high': 10.83, 'market': 0.07}, 'reverseHolofoil': {'low': 0.07, 'mid': 0.25, 'high': 1.4, 'market': 0.24}}",swsh4,Vivid Voltage,2021-06-03 20:20:32.344712
swsh1-13,Thwackey,013/202,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh1/13.png', 'large': 'https://images.pokemontcg.io/swsh1/13_hires.png'}","{'reverseHolofoil': {'low': 0.12, 'mid': 0.62, 'high': 9.95, 'market': 0.69}, 'normal': {'low': 0.01, 'mid': 0.2, 'high': 10.85, 'market': 0.13}}",swsh1,Sword & Shield,2021-06-03 20:20:32.344712
swsh35-16,Gardevoir V,016/073,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh35/16.png', 'large': 'https://images.pokemontcg.io/swsh35/16_hires.png'}","{'holofoil': {'low': 0.9, 'mid': 1.96, 'high': 19.95, 'market': 1.58}}",swsh35,Champion's Path,2021-06-03 20:20:32.344712
swsh4-12,Shiftry,012/185,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh4/12.png', 'large': 'https://images.pokemontcg.io/swsh4/12_hires.png'}","{'reverseHolofoil': {'low': 0.14, 'mid': 0.69, 'high': 999.99, 'market': 0.64}, 'normal': {'low': 0.08, 'mid': 0.28, 'high': 1.85, 'market': 0.25}}",swsh4,Vivid Voltage,2021-06-03 20:20:32.344712
swshp-SWSH005,Meowth VMAX,SWSH005,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swshp/SWSH005.png', 'large': 'https://images.pokemontcg.io/swshp/SWSH005_hires.png'}","{'holofoil': {'low': 2.0, 'mid': 3.59, 'high': 19.95, 'market': 2.9}}",swshp,SWSH Black Star Promos,2021-06-03 20:20:32.344712
swsh3-8,Karrablast,008/189,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh3/8.png', 'large': 'https://images.pokemontcg.io/swsh3/8_hires.png'}","{'reverseHolofoil': {'low': 0.1, 'mid': 0.25, 'high': 1.22, 'market': 0.21}, 'normal': {'low': 0.01, 'mid': 0.14, 'high': 10.79, 'market': 0.05}}",swsh3,Darkness Ablaze,2021-06-03 20:20:32.344712
